year,Pos,Player,photo,Runs,Mat,Inns,NO,HS,Avg,BF,SR,Century,Fifty,Four,Sixes,Team,Team_logo,Outs
2008,76,Aakash Chopra,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,42,5,5,0,24,8.4,52,80.76,0,0,5,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,5
2009,97,Aakash Chopra,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,11,2,1,0,11,11,19,57.89,0,0,2,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,1
2010,101,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,21,1,1,0,21,21,21,100,0,0,0,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,1
2011,82,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,47,6,6,0,25,7.83,46,102.17,0,0,3,3,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,6.002554278
2012,83,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,55,2,2,0,30,27.5,51,107.84,0,0,8,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,2
2013,11,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,456,14,14,0,67,32.57,336,135.71,0,4,54,16,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,14.00061406
2014,26,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,309,13,13,2,88,28.09,263,117.49,0,2,31,9,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,11.000356
2015,83,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,23,3,3,1,10,11.5,33,69.69,0,0,4,0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2016,13,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,393,13,12,2,74,39.3,299,131.43,0,5,45,11,GL,https://static.india.com/wp-content/uploads/2017/02/gl.jpg,10
2017,24,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,299,13,13,1,72,24.91,180,166.11,0,2,25,19,GL,https://static.india.com/wp-content/uploads/2017/02/gl.jpg,12.00321156
2018,44,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,134,10,9,1,46,16.75,100,134,0,0,6,8,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,8
2020,31,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,268,12,12,0,52,22.33,241,111.2,0,1,28,8,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,12.00179131
2022,76,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,86,5,5,0,58,17.2,61,140.98,0,1,10,3,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,5
2008,63,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,95,6,6,1,26,19,98,96.93,0,0,5,1,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,5
2010,53,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,111,7,7,0,45,15.85,119,93.27,0,0,7,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,7.003154574
2011,26,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,312,16,13,4,65,34.66,243,128.39,0,2,21,14,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,9.001731102
2012,25,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,319,16,13,5,64,39.87,198,161.11,0,3,26,15,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,8.001003261
2013,18,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,360,14,14,4,64,36,219,164.38,0,2,34,15,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2014,11,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,395,14,13,2,89,35.9,249,158.63,0,3,26,24,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,11.00278552
2015,4,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,513,16,14,3,133,46.63,293,175.08,1,2,60,22,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,11.00150118
2016,3,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,687,16,16,3,129,52.84,407,168.79,1,6,57,37,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,13.001514
2017,42,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,216,9,9,1,89,27,163,132.51,0,1,12,16,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,8
2018,12,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,480,12,11,2,90,53.33,275,174.54,0,6,39,30,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,9.000562535
2019,11,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,442,13,13,3,82,44.2,287,154,0,5,31,26,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2020,10,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,454,15,14,4,73,45.4,286,158.74,0,5,33,23,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2021,19,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,313,15,14,4,76,31.3,211,148.34,0,2,23,16,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2023,158,Abdul Basith,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Basith.png,1,1,1,1,1,1,1,100,0,0,0,0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,1
2020,53,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,111,12,8,3,33,22.2,65,170.76,0,0,8,6,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,5
